ZIP,TERMINAL,SERVICEOUTBOUND,DAYSOUTBOUND,SERVICEINBOUND,DAYSINBOUND
501,NY001,D,3,D,3
1001,CT001,D,3,D,3
1002,CT001,D,3,D,3
1003,CT001,D,3,D,3
1004,CT001,D,8,D,8
1005,CT001,D,4,D,4
1007,CT001,D,3,D,3
1008,CT001,D,3,D,3
1009,CT001,D,3,D,3
1010,CT001,D,3,D,3
1011,CT001,D,3,D,3
1012,CT001,D,4,D,4
1013,CT001,D,3,D,3
1014,CT001,D,8,D,8
1020,CT001,D,3,D,3
1021,CT001,D,8,D,8
1022,CT001,D,3,D,3
1026,CT001,D,4,D,4
1027,CT001,D,3,D,3
1028,CT001,D,3,D,3
1029,CT001,D,3,D,3
1030,CT001,D,3,D,3
1031,CT001,D,4,D,4
1032,CT001,D,4,D,4
1033,CT001,D,3,D,3
1034,CT001,D,3,D,3
1035,CT001,D,3,D,3
1036,CT001,D,3,D,3
1037,CT001,D,4,D,4
1038,CT001,D,3,D,3
1039,CT001,D,3,D,3
1040,CT001,D,3,D,3
1041,CT001,D,3,D,3
1050,CT001,D,3,D,3
1053,CT001,D,3,D,3
1054,CT001,D,4,D,4
1056,CT001,D,3,D,3
1057,CT001,D,3,D,3
1059,CT001,D,3,D,3
1060,CT001,D,3,D,3
1061,CT001,D,3,D,3
1062,CT001,D,3,D,3
1063,CT001,D,3,D,3
1066,CT001,D,3,D,3
1068,CT001,D,4,D,4
1069,CT001,D,3,D,3
1070,CT001,D,4,D,4
1071,CT001,D,3,D,3
1072,CT001,D,4,D,4
1073,CT001,D,3,D,3
1074,CT001,D,4,D,4
1075,CT001,D,3,D,3
1077,CT001,D,3,D,3
1079,CT001,D,3,D,3
1080,CT001,D,3,D,3
1081,CT001,D,3,D,3
1082,CT001,D,3,D,3
1083,CT001,D,4,D,4
1084,CT001,D,4,D,4
1085,CT001,D,3,D,3
1086,CT001,D,3,D,3
1088,CT001,D,3,D,3
1089,CT001,D,3,D,3
1090,CT001,D,8,D,8
1092,CT001,D,3,D,3
1093,CT001,D,3,D,3
1094,CT001,D,4,D,4
1095,CT001,D,3,D,3
1096,CT001,D,3,D,3
1097,CT001,D,3,D,3
1098,CT001,D,4,D,4
1101,CT001,D,3,D,3
1102,CT001,D,8,D,8
1103,CT001,D,3,D,3
1104,CT001,D,3,D,3
1105,CT001,D,3,D,3
1106,CT001,D,3,D,3
1107,CT001,D,3,D,3
1108,CT001,D,3,D,3
1109,CT001,D,3,D,3
1111,CT001,D,3,D,3
1115,CT001,D,8,D,8
1116,CT001,D,8,D,8
1118,CT001,D,3,D,3
1119,CT001,D,3,D,3
1128,CT001,D,3,D,3
1129,CT001,D,3,D,3
1138,CT001,D,8,D,8
1139,CT001,D,8,D,8
1144,CT001,D,3,D,3
1151,CT001,D,3,D,3
1152,CT001,D,3,D,3
1199,CT001,D,3,D,3
1201,CT001,D,4,D,4
1202,CT001,D,4,D,4
1203,CT001,D,8,D,8
1220,CT001,D,4,D,4
1222,CT001,D,3,D,3
1223,CT001,D,4,D,4
1224,CT001,D,4,D,4
1225,CT001,D,4,D,4
1226,CT001,D,4,D,4
1227,CT001,D,4,D,4
1229,CT001,D,4,D,4
1230,CT001,D,4,D,4
1235,CT001,D,4,D,4
1236,CT001,D,4,D,4
1237,CT001,D,4,D,4
1238,CT001,D,4,D,4
1240,CT001,D,4,D,4
1242,CT001,D,4,D,4
1243,CT001,D,4,D,4
1244,CT001,D,4,D,4
1245,CT001,D,4,D,4
1247,CT001,D,4,D,4
1252,CT001,D,4,D,4
1253,CT001,D,3,D,3
1254,CT001,D,4,D,4
1255,CT001,D,4,D,4
1256,CT001,D,4,D,4
1257,CT001,D,4,D,4
1258,CT001,D,4,D,4
1259,CT001,D,3,D,3
1260,CT001,D,4,D,4
1262,CT001,D,4,D,4
1263,CT001,D,4,D,4
1264,CT001,D,4,D,4
1266,CT001,D,4,D,4
1267,CT001,D,4,D,4
1270,CT001,D,4,D,4
1301,CT001,D,4,D,4
1302,CT001,D,8,D,8
1330,CT001,D,4,D,4
1331,CT001,D,4,D,4
1337,CT001,D,4,D,4
1338,CT001,D,4,D,4
1339,CT001,D,4,D,4
1340,CT001,D,4,D,4
1341,CT001,D,4,D,4
1342,CT001,D,4,D,4
1343,CT001,D,4,D,4
1344,CT001,D,4,D,4
1346,CT001,D,4,D,4
1347,CT001,D,4,D,4
1349,CT001,D,4,D,4
1350,CT001,D,4,D,4
1351,CT001,D,4,D,4
1354,CT001,D,4,D,4
1355,CT001,D,4,D,4
1360,CT001,D,4,D,4
1364,CT001,D,4,D,4
1366,CT001,D,4,D,4
1367,CT001,D,4,D,4
1368,CT001,D,4,D,4
1370,CT001,D,4,D,4
