LOWZIP,HIGHZIP,TERMINAL,SERV_IN,SERV_OUT,DAYS_IN,DAYS_OUT
501,501,NY001,D,3,3,D
1001,1003,CT001,D,3,3,D
1004,1004,CT001,D,8,8,D
1005,1005,CT001,D,4,4,D
1007,1011,CT001,D,3,3,D
1012,1012,CT001,D,4,4,D
1013,1013,CT001,D,3,3,D
1014,1014,CT001,D,8,8,D
1020,1020,CT001,D,3,3,D
1021,1021,CT001,D,8,8,D
1022,1022,CT001,D,3,3,D
1026,1026,CT001,D,4,4,D
1027,1030,CT001,D,3,3,D
1031,1032,CT001,D,4,4,D
1033,1036,CT001,D,3,3,D
1037,1037,CT001,D,4,4,D
1038,1053,CT001,D,3,3,D
1054,1054,CT001,D,4,4,D
1056,1066,CT001,D,3,3,D
1068,1068,CT001,D,4,4,D
1069,1069,CT001,D,3,3,D
1070,1070,CT001,D,4,4,D
1071,1071,CT001,D,3,3,D
1072,1072,CT001,D,4,4,D
1073,1073,CT001,D,3,3,D
1074,1074,CT001,D,4,4,D
1075,1082,CT001,D,3,3,D
1083,1084,CT001,D,4,4,D
1085,1089,CT001,D,3,3,D
1090,1090,CT001,D,8,8,D
1092,1093,CT001,D,3,3,D
1094,1094,CT001,D,4,4,D
1095,1097,CT001,D,3,3,D
1098,1098,CT001,D,4,4,D
1101,1101,CT001,D,3,3,D
1102,1102,CT001,D,8,8,D
1103,1111,CT001,D,3,3,D
1115,1116,CT001,D,8,8,D
1118,1129,CT001,D,3,3,D
1138,1139,CT001,D,8,8,D
1144,1199,CT001,D,3,3,D
1201,1202,CT001,D,4,4,D
1203,1203,CT001,D,8,8,D
1220,1220,CT001,D,4,4,D
1222,1222,CT001,D,3,3,D
1223,1252,CT001,D,4,4,D
1253,1253,CT001,D,3,3,D
1254,1258,CT001,D,4,4,D
1259,1259,CT001,D,3,3,D
1260,1301,CT001,D,4,4,D
1302,1302,CT001,D,8,8,D
1330,1370,CT001,D,4,4,D
1373,1373,CT001,D,3,3,D
1375,1380,CT001,D,4,4,D
1420,1464,MA001,D,4,4,D
1467,1467,MA001,D,3,3,D
1468,1475,MA001,D,4,4,D
1501,1505,MA001,D,3,3,D
1506,1509,MA001,D,4,4,D
1510,1510,MA001,D,3,3,D
1515,1515,MA001,D,4,4,D
1516,1516,MA001,D,3,3,D
1518,1518,MA001,D,4,4,D
1519,1519,MA001,D,3,3,D
1520,1522,MA001,D,4,4,D
1523,1523,MA001,D,3,3,D
1524,1524,MA001,D,4,4,D
1525,1529,MA001,D,3,3,D
1531,1531,MA001,D,4,4,D
1532,1534,MA001,D,3,3,D
1535,1535,MA001,D,4,4,D
1536,1536,MA001,D,3,3,D
1537,1537,MA001,D,4,4,D
1538,1538,MA001,D,3,3,D
1540,1543,MA001,D,4,4,D
1545,1546,MA001,D,3,3,D
1550,1550,MA001,D,4,4,D
1560,1561,MA001,D,3,3,D
1562,1566,MA001,D,4,4,D
1568,1570,MA001,D,3,3,D
